epoch,train/lr,train/loss,val/loss,train/acc,val/acc,train/f1,val/f1
1,0.001,0.03847484698421077,0.026175533716528736,0.0045880149812734085,0.004584795321637427,6.306221575501059e-05,0.0
2,0.0009755282581475768,0.024601335211804038,0.02467315820704775,0.0045880149812734085,0.005333333333333333,0.0002652933832709113,0.0037364522417153993
3,0.0009045084971874736,0.02379565086803938,0.023280459553090452,0.0048220973782771535,0.009497076023391813,0.0015215355805243446,0.014908382066276805
4,0.0007938926261462366,0.021646542773957837,0.02193294044649392,0.0047752808988764045,0.02919298245614035,0.004603620474406991,0.07100128098022836
5,0.0006545084971874737,0.019218409286256424,0.019830430660680024,0.006320224719101123,0.10226900584795322,0.023525280898876403,0.185903425229741
6,0.0005,0.01736730009840246,0.018449719270898238,0.013342696629213483,0.18222222222222223,0.05719413233458177,0.27657076023391813
7,0.00034549150281252633,0.01627093063373315,0.016863533014660342,0.020926966292134832,0.23139181286549707,0.09194756554307117,0.333833918128655
8,0.0002061073738537635,0.015418308536734497,0.01623421041567249,0.030102996254681647,0.26535672514619885,0.1168305243445693,0.37125769980506823
9,9.549150281252634e-05,0.014878126824634116,0.015874619847326948,0.03604868913857678,0.28472514619883044,0.1378589263420724,0.3907243664717349
10,2.4471741852423235e-05,0.014587046451735915,0.01578883366190899,0.04058988764044944,0.2922573099415205,0.14794007490636704,0.3936093567251462
11,0.0,0.014503456069189206,0.015886785437445542,0.03717228464419476,0.29384795321637425,0.15177902621722847,0.394964522417154
12,2.4471741852423235e-05,0.014493851800236785,0.015757058313584815,0.039185393258426966,0.2978713450292398,0.15215355805243444,0.3989925925925926
13,9.549150281252665e-05,0.014501195212728099,0.015587237404321719,0.04147940074906367,0.3095204678362573,0.15518102372034956,0.41087407407407406
14,0.0002061073738537643,0.014365185261295554,0.01539125101237792,0.04892322097378277,0.3256608187134503,0.1656210986267166,0.4212553606237816
15,0.0003454915028125278,0.014301629861195882,0.015331778416072417,0.05365168539325843,0.33871345029239763,0.17368133583021222,0.4313755499860763
16,0.0005000000000000022,0.014210869361434066,0.014925296469564326,0.06151685393258427,0.343906432748538,0.1857443820224719,0.43480701754385964
17,0.0006545084971874766,0.014226682478921455,0.015185447957649914,0.0678370786516854,0.35789473684210527,0.193375468164794,0.4451673628515733
18,0.00079389262614624,0.01402415580916823,0.014684291027094188,0.07883895131086142,0.3533567251461988,0.20754525593008735,0.44605068226120853
19,0.0009045084971874779,0.013940987354307844,0.014621340582550268,0.08675093632958801,0.3798830409356725,0.21697097378277153,0.4633372319688109
20,0.0009755282581475812,0.01350254279218222,0.01368195289931102,0.09892322097378277,0.4032280701754386,0.2383036828963795,0.48457387914230016
21,0.0010000000000000046,0.013308740804592769,0.013414985794377955,0.10720973782771535,0.4025263157894737,0.2534722222222222,0.4983859649122807
22,0.0009755282581475812,0.012768506245654926,0.012788339303425182,0.12626404494382024,0.44584795321637427,0.27838639200998744,0.52837738791423
23,0.0009045084971874781,0.012705555393507605,0.013491385573880714,0.136750936329588,0.41506432748538014,0.2880539950062422,0.5033684210526316
